charity	cn_score	fp_score
The Food Bank of Lower Fairfield County	89.39	84.92
The Greater Boston Food Bank	91.23	100.0
The Food Bank of Western Massachusetts	98.23	88.41
Northampton Survival Center	87.48	78.73
Worcester County Food Bank	95.58	93.19
Rhode Island Community Food Bank	84.89	95.5
Connecticut Food Bank	90.25	92.51
Long Island Cares	91.94	87.34
Island Harvest	91.09	84.26
City Harvest	89.18	100.0
Food Bank For New York City	83.9	100.0
Feeding Westchester	87.96	87.96
Heartland Hope Mission	88.81	91.03
River Food Pantry	89.24	87.01
Jacobs & Cushman San Diego Food Bank	95.26	100.0
Colonial Heights Food Pantry	79.78	63.82
Community FoodBank of New Jersey	90.96	86.41
Foodlink	88.64	97.5
Greater Berks Food Bank	95.5	95.5
Food Bank of Western New York, Inc.	92.22	100.0
Foodshare	90.28	92.54
Fulfill	95.47	83.54
Food Bank of South Jersey	88.54	88.54
Food Bank of Central New York	91.23	98.07
Good Shepherd Food Bank of Maine	93.98	82.23
Vermont Foodbank	94.52	77.98
Community Soup Kitchen and Outreach Center Inc.	90.43	74.6
Interfaith Food Pantry	95.47	78.76
Table to Table	98.23	88.41
Central Pennsylvania Food Bank	98.23	90.86
Manna on Main Street	87.25	76.34
Philabundance	80.13	100.0
Circle Of Concern	88.01	85.81
FreeStore FoodBank	90.06	100.0
Second Harvest Inland Northwest	93.32	95.65
Dare to Care Food Bank	96.53	100.0
St. Mary's Food Bank Alliance	88.65	100.0
Second Harvest Heartland	85.93	90.23
Second Harvest Food Bank of Northwest Pennsylvania	92.92	95.24
Greater Pittsburgh Community Food Bank	91.06	95.61
Westmoreland County Food Bank	90.51	81.46
Three Square	98.23	100.0
Mid-Ohio Foodbank	98.23	100.0
God's Pantry Food Bank	96.4	100.0
Food Finders Food Bank, Inc.	91.71	96.3
Shared Harvest Foodbank	84.76	82.64
Community Harvest Food Bank of Northeast Indiana	93.0	97.65
Second Harvest Food Bank of East Central Indiana	92.38	99.31
Valley Interfaith Community Resource Center	86.1	99.01
Target Hunger	83.11	99.73
Second Harvest Food Bank of Orange County	94.31	100.0
Food Finders	90.31	100.0
Imperial Valley Food Pantry	71.17	78.29
Greater Cleveland Food Bank	92.38	100.0
Akron-Canton Regional Foodbank	93.94	98.64
Second Harvest Foodbank of the Mahoning Valley	100.0	100.0
Toledo Northwestern Ohio Food Bank, Inc.	95.05	100.0
Second Harvest Food Bank of North Central Ohio	91.65	87.07
Hunger Network of Greater Cleveland	86.82	100.0
Gleaners Food Bank of Indiana, Inc.	87.14	100.0
Food Bank of Northwest Indiana	86.41	97.21
Food Bank of Northern Indiana	86.61	88.78
Lakeview Pantry	83.53	96.06
Greater Chicago Food Depository	93.53	100.0
Rock River Valley Pantry	89.06	93.51
River Bend Foodbank	100.0	95.0
Northern Illinois Food Bank	92.92	88.27
Feeding South Dakota	95.07	80.81
Second Harvest Northern Lakes Food Bank	96.05	93.65
Helena Food Share	91.55	73.24
The Billings Food Bank	90.02	72.02
Loaves & Fishes Community Services	93.61	84.25
West Suburban Community Pantry	83.75	75.38
Central Illinois Foodbank	97.24	92.38
