county	percentage
Hampshire County	0.1190
Hampden County	0.1650
Worcester County	0.0960
Essex County	0.1070
Suffolk County	0.1950
Middlesex County	0.0770
Providence County	0.1580
Hillsborough County	0.0800
Rockingham County	0.0420
Cumberland County	0.1000
Androscoggin County	0.1270
Windsor County	0.1000
Chittenden County	0.0960
Washington County	0.1080
Hartford County	0.1090
New Haven County	0.1140
Fairfield County	0.0860
Essex County	0.1630
Union County	0.1060
Bergen County	0.0690
Monmouth County	0.0710
Morris County	0.0540
Camden County	0.1200
Atlantic County	0.1420
Mercer County	0.1110
New York County	0.1720
Bronx County	0.2860
Westchester County	0.1000
Nassau County	0.0610
Suffolk County	0.0760
Schenectady County	0.1140
Onondaga County	0.1460
Erie County	0.1420
Monroe County	0.1470
Allegheny County	0.1150
Washington County	0.0970
Westmoreland County	0.0980
Erie County	0.1570
Dauphin County	0.1130
York County	0.0980
Lancaster County	0.1070
Lehigh County	0.1380
Philadelphia County	0.2530
Montgomery County	0.0620
Berks County	0.1310
New Castle County	0.1130
Loudoun County	0.0350
Montgomery County	0.0690
Anne Arundel County	0.0700
Baltimore city	0.2180
Frederick County	0.0690
Washington County	0.1320
Fairfax County	0.0600
Arlington County	0.0750
Alexandria city	0.1050
Spotsylvania County	0.0740
Chesterfield County	0.0700
Richmond city	0.2620
Norfolk city	0.2130
Hampton city	0.1640
Colonial Heights city	0.1040
Roanoke city	0.2230
Salem city	0.0920
Augusta County	0.0920
Bedford County	0.0960
Kanawha County	0.1680
Cabell County	0.2190
Forsyth County	0.1750
Guilford County	0.1830
Wake County	0.0920
Durham County	0.1610
Pasquotank County	0.1700
Rowan County	0.1650
Mecklenburg County	0.1230
New Hanover County	0.1730
Polk County	0.1450
Buncombe County	0.1350
Richland County	0.1640
Charleston County	0.1500
Greenville County	0.1090
Anderson County	0.1540
DeKalb County	0.1750
Cobb County	0.1000
Fulton County	0.1600
Gwinnett County	0.1130
Rabun County	0.1710
Richmond County	0.2560
Bibb County	0.2630
Chatham County	0.1660
Duval County	0.1450
Leon County	0.1900
Bay County	0.1490
Escambia County	0.1520
Alachua County	0.2230
Seminole County	0.1140
Orange County	0.1630
Indian River County	0.1230
Broward County	0.1350
Miami-Dade County	0.1820
Palm Beach County	0.1260
Hillsborough County	0.1500
Pinellas County	0.1330
Polk County	0.1640
Lee County	0.1280
Manatee County	0.1270
Sarasota County	0.1080
St. Lucie County	0.1700
Jefferson County	0.1530
Madison County	0.1350
Montgomery County	0.1880
Mobile County	0.1950
Davidson County	0.1510
Hamilton County	0.1350
Washington County	0.1480
Sullivan County	0.1640
Blount County	0.1140
Knox County	0.1480
Shelby County	0.2080
Sharkey County	0.3500
Hinds County	0.2080
Forrest County	0.2540
Jefferson County	0.1490
Fayette County	0.1790
Kenton County	0.1260
Daviess County	0.1640
Franklin County	0.1660
Lucas County	0.1980
Muskingum County	0.1480
Lorain County	0.1240
Cuyahoga County	0.1830
Summit County	0.1370
Trumbull County	0.1760
Mahoning County	0.1870
Butler County	0.1240
Hamilton County	0.1600
Montgomery County	0.1820
Marion County	0.1890
Lake County	0.1660
Elkhart County	0.1320
St. Joseph County	0.1620
Allen County	0.1500
Howard County	0.1480
Delaware County	0.2160
Vigo County	0.1780
Tippecanoe County	0.1760
Oakland County	0.0870
Washtenaw County	0.1460
Wayne County	0.2290
Genesee County	0.2030
Saginaw County	0.1780
Ingham County	0.2010
Kalamazoo County	0.1660
Jackson County	0.1360
Kent County	0.1210
Ottawa County	0.0900
Polk County	0.1090
Black Hawk County	0.1610
Woodbury County	0.1330
Scott County	0.1340
Waukesha County	0.0520
Milwaukee County	0.1980
Dane County	0.1090
Eau Claire County	0.1310
Outagamie County	0.0800
Ramsey County	0.1390
Hennepin County	0.1090
St. Louis County	0.1470
Olmsted County	0.0860
Kandiyohi County	0.1150
Polk County	0.1450
Minnehaha County	0.0990
Pennington County	0.1450
Grand Forks County	0.1390
Yellowstone County	0.0880
Cascade County	0.1420
Lewis and Clark County	0.1040
Missoula County	0.1520
Flathead County	0.1230
Lake County	0.0870
Cook County	0.1500
Kane County	0.1050
DuPage County	0.0700
Will County	0.0720
Winnebago County	0.1560
Peoria County	0.1520
McLean County	0.1260
Champaign County	0.1890
Sangamon County	0.1380
St. Louis County	0.0920
Scott County	0.1840
Jackson County	0.1550
Buchanan County	0.1780
Boone County	0.1660
Greene County	0.1650
Shawnee County	0.1090
Sedgwick County	0.1490
Saline County	0.1200
Douglas County	0.1240
Lancaster County	0.1220
Adams County	0.1270
Jefferson Parish	0.1610
East Baton Rouge Parish	0.1990
Caddo Parish	0.2640
Ouachita Parish	0.2450
Rapides Parish	0.1990
Miller County	0.2240
Pulaski County	0.1720
Baxter County	0.1270
Washington County	0.1580
Oklahoma County	0.1630
Tulsa County	0.1570
Denton County	0.0820
Collin County	0.0630
Dallas County	0.1630
Gregg County	0.1740
Smith County	0.1570
Tarrant County	0.1360
Wichita County	0.1680
Harris County	0.1660
Brazos County	0.2490
Victoria County	0.1420
Bexar County	0.1630
Nueces County	0.1510
Hidalgo County	0.3120
Travis County	0.1220
Potter County	0.2200
Lubbock County	0.1890
Taylor County	0.1680
Ector County	0.1390
El Paso County	0.2270
Jefferson County	0.0700
Boulder County	0.1080
Denver County	0.1400
Larimer County	0.1120
Weld County	0.1150
El Paso County	0.1150
Ada County	0.1080
Salt Lake County	0.0940
Weber County	0.1080
Maricopa County	0.1500
Santa Cruz County	0.2090
Pima County	0.1820
Bernalillo County	0.1620
Santa Fe County	0.1400
Clark County	0.1460
Washoe County	0.1250
Los Angeles County	0.1630
San Diego County	0.1240
Riverside County	0.1530
Imperial County	0.2360
Orange County	0.1110
Ventura County	0.0980
Santa Barbara County	0.1390
Tulare County	0.2470
Kern County	0.2240
San Luis Obispo County	0.1100
Fresno County	0.2550
Monterey County	0.1290
San Mateo County	0.0660
Santa Clara County	0.0930
San Francisco County	0.1020
Contra Costa County	0.0870
Solano County	0.1140
Alameda County	0.1070
Marin County	0.0780
Santa Cruz County	0.1340
Stanislaus County	0.1450
Sonoma County	0.0940
Humboldt County	0.2000
Sacramento County	0.1630
El Dorado County	0.0870
Shasta County	0.1720
Maui County	0.0950
Honolulu County	0.0850
Multnomah County	0.1420
Marion County	0.1360
Benton County	0.1840
Lane County	0.1830
Josephine County	0.1800
King County	0.0930
Kitsap County	0.1010
Snohomish County	0.0800
Pierce County	0.1210
Thurston County	0.1040
Grays Harbor County	0.1520
Clark County	0.0900
Spokane County	0.1330
Franklin County	0.1490
Fairbanks North Star Borough	0.0850
